STATE/UT,YEAR,CRIME HEAD,Grand Total
Andhra Pradesh,2001,Murder,2219
Andhra Pradesh,2001,Attempt To Commit Murder,121
Andhra Pradesh,2001,C.H. Not Amounting To Murder,226
Andhra Pradesh,2001,Rape,166
Andhra Pradesh,2001,Kidnapping And Abduction,17
Andhra Pradesh,2001,Dacoity,190
Andhra Pradesh,2001,Prep. And Assembly For Dacoity,16
Andhra Pradesh,2001,Robbery,65
Andhra Pradesh,2001,Burglary,38
Andhra Pradesh,2001,Thefts,284
Andhra Pradesh,2001,Extortion,1
Andhra Pradesh,2001,Riots,10
Andhra Pradesh,2001,Arson,4
Andhra Pradesh,2001,Criminal Breach Of Trust,7
Andhra Pradesh,2001,Cheating,24
Andhra Pradesh,2001,Counter Feiting,0
Andhra Pradesh,2001,Dowry Deaths,46
Andhra Pradesh,2001,Molestation,23
Andhra Pradesh,2001,Eve-Teasing,2
Andhra Pradesh,2001,Cruelty By Husband Or Relative Of Husband,25
Andhra Pradesh,2001,Other Ipc Crimes,356
Andhra Pradesh,2002,Murder,2478
Andhra Pradesh,2002,Attempt To Commit Murder,90
Andhra Pradesh,2002,C.H. Not Amounting To Murder,277
Andhra Pradesh,2002,Rape,186
Andhra Pradesh,2002,Kidnapping And Abduction,36
Andhra Pradesh,2002,Dacoity,184
Andhra Pradesh,2002,Prep. And Assembly For Dacoity,17
Andhra Pradesh,2002,Robbery,129
Andhra Pradesh,2002,Burglary,92
Andhra Pradesh,2002,Thefts,370
Andhra Pradesh,2002,Extortion,33
Andhra Pradesh,2002,Riots,7
Andhra Pradesh,2002,Arson,3
Andhra Pradesh,2002,Criminal Breach Of Trust,4
Andhra Pradesh,2002,Cheating,42
Andhra Pradesh,2002,Counter Feiting,5
Andhra Pradesh,2002,Dowry Deaths,50
Andhra Pradesh,2002,Molestation,62
Andhra Pradesh,2002,Eve-Teasing,1
Andhra Pradesh,2002,Cruelty By Husband Or Relative Of Husband,98
Andhra Pradesh,2002,Other Ipc Crimes,274
Andhra Pradesh,2003,Murder,2544
Andhra Pradesh,2003,Attempt To Commit Murder,98
Andhra Pradesh,2003,C.H. Not Amounting To Murder,289
Andhra Pradesh,2003,Rape,191
Andhra Pradesh,2003,Kidnapping And Abduction,38
Andhra Pradesh,2003,Dacoity,190
Andhra Pradesh,2003,Prep. And Assembly For Dacoity,29
Andhra Pradesh,2003,Robbery,161
Andhra Pradesh,2003,Burglary,107
Andhra Pradesh,2003,Thefts,373
Andhra Pradesh,2003,Extortion,43
Andhra Pradesh,2003,Riots,20
Andhra Pradesh,2003,Arson,4
Andhra Pradesh,2003,Criminal Breach Of Trust,5
Andhra Pradesh,2003,Cheating,54
Andhra Pradesh,2003,Counter Feiting,7
Andhra Pradesh,2003,Dowry Deaths,54
Andhra Pradesh,2003,Molestation,45
Andhra Pradesh,2003,Eve-Teasing,2
Andhra Pradesh,2003,Cruelty By Husband Or Relative Of Husband,90
Andhra Pradesh,2003,Other Ipc Crimes,264
Andhra Pradesh,2004,Murder,2706
Andhra Pradesh,2004,Attempt To Commit Murder,142
Andhra Pradesh,2004,C.H. Not Amounting To Murder,134
Andhra Pradesh,2004,Rape,200
Andhra Pradesh,2004,Kidnapping And Abduction,49
Andhra Pradesh,2004,Dacoity,162
Andhra Pradesh,2004,Prep. And Assembly For Dacoity,13
Andhra Pradesh,2004,Robbery,83
Andhra Pradesh,2004,Burglary,50
Andhra Pradesh,2004,Thefts,294
Andhra Pradesh,2004,Extortion,3
Andhra Pradesh,2004,Riots,11
Andhra Pradesh,2004,Arson,5
Andhra Pradesh,2004,Criminal Breach Of Trust,2
Andhra Pradesh,2004,Cheating,36
Andhra Pradesh,2004,Counter Feiting,8
Andhra Pradesh,2004,Dowry Deaths,84
Andhra Pradesh,2004,Molestation,84
Andhra Pradesh,2004,Eve-Teasing,2
Andhra Pradesh,2004,Cruelty By Husband Or Relative Of Husband,80
Andhra Pradesh,2004,Other Ipc Crimes,138
Andhra Pradesh,2005,Murder,2957
Andhra Pradesh,2005,Attempt To Commit Murder,200
Andhra Pradesh,2005,C.H. Not Amounting To Murder,97
Andhra Pradesh,2005,Rape,165
Andhra Pradesh,2005,Kidnapping And Abduction,36
Andhra Pradesh,2005,Dacoity,128
Andhra Pradesh,2005,Prep. And Assembly For Dacoity,8
Andhra Pradesh,2005,Robbery,104
Andhra Pradesh,2005,Burglary,58
Andhra Pradesh,2005,Thefts,374
Andhra Pradesh,2005,Extortion,5
Andhra Pradesh,2005,Riots,1
Andhra Pradesh,2005,Arson,2
Andhra Pradesh,2005,Criminal Breach Of Trust,2
Andhra Pradesh,2005,Cheating,28
Andhra Pradesh,2005,Counter Feiting,0
Andhra Pradesh,2005,Dowry Deaths,78
Andhra Pradesh,2005,Molestation,97
Andhra Pradesh,2005,Eve-Teasing,1
Andhra Pradesh,2005,Cruelty By Husband Or Relative Of Husband,85
Andhra Pradesh,2005,Other Ipc Crimes,180
Andhra Pradesh,2006,Murder,3104
Andhra Pradesh,2006,Attempt To Commit Murder,104
Andhra Pradesh,2006,C.H. Not Amounting To Murder,141
Andhra Pradesh,2006,Rape,161
Andhra Pradesh,2006,Kidnapping And Abduction,46
Andhra Pradesh,2006,Dacoity,113
Andhra Pradesh,2006,Prep. And Assembly For Dacoity,10
Andhra Pradesh,2006,Robbery,61
Andhra Pradesh,2006,Burglary,62
Andhra Pradesh,2006,Thefts,369
Andhra Pradesh,2006,Extortion,0
Andhra Pradesh,2006,Riots,7
Andhra Pradesh,2006,Arson,3
Andhra Pradesh,2006,Criminal Breach Of Trust,1
Andhra Pradesh,2006,Cheating,25
Andhra Pradesh,2006,Counter Feiting,6
Andhra Pradesh,2006,Dowry Deaths,120
Andhra Pradesh,2006,Molestation,79
Andhra Pradesh,2006,Eve-Teasing,1
