STATE/UT,YEAR,CRIME HEAD,Grand Total
Andhra Pradesh,2001,Murder,1167
Andhra Pradesh,2001,Attempt To Commit Murder,469
Andhra Pradesh,2001,C.H. Not Amounting To Murder,226
Andhra Pradesh,2001,Rape,332
Andhra Pradesh,2001,Kidnapping And Abduction,144
Andhra Pradesh,2001,Dacoity,727
Andhra Pradesh,2001,Prep. And Assembly For Dacoity,44
Andhra Pradesh,2001,Robbery,260
Andhra Pradesh,2001,Burglary,316
Andhra Pradesh,2001,Thefts,1301
Andhra Pradesh,2001,Extortion,11
Andhra Pradesh,2001,Riots,102
Andhra Pradesh,2001,Arson,12
Andhra Pradesh,2001,Criminal Breach Of Trust,26
Andhra Pradesh,2001,Cheating,196
Andhra Pradesh,2001,Counter Feiting,15
Andhra Pradesh,2001,Dowry Deaths,50
Andhra Pradesh,2001,Molestation,49
Andhra Pradesh,2001,Eve-Teasing,6
Andhra Pradesh,2001,Cruelty By Husband Or Relative Of Husband,112
Andhra Pradesh,2001,Other Ipc Crimes,765
Andhra Pradesh,2002,Murder,1146
Andhra Pradesh,2002,Attempt To Commit Murder,459
Andhra Pradesh,2002,C.H. Not Amounting To Murder,202
Andhra Pradesh,2002,Rape,314
Andhra Pradesh,2002,Kidnapping And Abduction,199
Andhra Pradesh,2002,Dacoity,534
Andhra Pradesh,2002,Prep. And Assembly For Dacoity,47
Andhra Pradesh,2002,Robbery,283
Andhra Pradesh,2002,Burglary,191
Andhra Pradesh,2002,Thefts,1129
Andhra Pradesh,2002,Extortion,77
Andhra Pradesh,2002,Riots,62
Andhra Pradesh,2002,Arson,32
Andhra Pradesh,2002,Criminal Breach Of Trust,13
Andhra Pradesh,2002,Cheating,224
Andhra Pradesh,2002,Counter Feiting,17
Andhra Pradesh,2002,Dowry Deaths,183
Andhra Pradesh,2002,Molestation,84
Andhra Pradesh,2002,Eve-Teasing,18
Andhra Pradesh,2002,Cruelty By Husband Or Relative Of Husband,238
Andhra Pradesh,2002,Other Ipc Crimes,398
Andhra Pradesh,2003,Murder,1172
Andhra Pradesh,2003,Attempt To Commit Murder,465
Andhra Pradesh,2003,C.H. Not Amounting To Murder,191
Andhra Pradesh,2003,Rape,364
Andhra Pradesh,2003,Kidnapping And Abduction,204
Andhra Pradesh,2003,Dacoity,517
Andhra Pradesh,2003,Prep. And Assembly For Dacoity,52
Andhra Pradesh,2003,Robbery,336
Andhra Pradesh,2003,Burglary,194
Andhra Pradesh,2003,Thefts,1270
Andhra Pradesh,2003,Extortion,81
Andhra Pradesh,2003,Riots,63
Andhra Pradesh,2003,Arson,36
Andhra Pradesh,2003,Criminal Breach Of Trust,21
Andhra Pradesh,2003,Cheating,210
Andhra Pradesh,2003,Counter Feiting,18
Andhra Pradesh,2003,Dowry Deaths,179
Andhra Pradesh,2003,Molestation,89
Andhra Pradesh,2003,Eve-Teasing,23
Andhra Pradesh,2003,Cruelty By Husband Or Relative Of Husband,227
Andhra Pradesh,2003,Other Ipc Crimes,388
Andhra Pradesh,2004,Murder,1261
Andhra Pradesh,2004,Attempt To Commit Murder,470
Andhra Pradesh,2004,C.H. Not Amounting To Murder,178
Andhra Pradesh,2004,Rape,331
Andhra Pradesh,2004,Kidnapping And Abduction,245
Andhra Pradesh,2004,Dacoity,471
Andhra Pradesh,2004,Prep. And Assembly For Dacoity,32
Andhra Pradesh,2004,Robbery,182
Andhra Pradesh,2004,Burglary,224
Andhra Pradesh,2004,Thefts,1528
Andhra Pradesh,2004,Extortion,57
Andhra Pradesh,2004,Riots,77
Andhra Pradesh,2004,Arson,25
Andhra Pradesh,2004,Criminal Breach Of Trust,27
Andhra Pradesh,2004,Cheating,330
Andhra Pradesh,2004,Counter Feiting,21
Andhra Pradesh,2004,Dowry Deaths,163
Andhra Pradesh,2004,Molestation,91
Andhra Pradesh,2004,Eve-Teasing,17
Andhra Pradesh,2004,Cruelty By Husband Or Relative Of Husband,247
Andhra Pradesh,2004,Other Ipc Crimes,547
Andhra Pradesh,2005,Murder,1303
Andhra Pradesh,2005,Attempt To Commit Murder,535
Andhra Pradesh,2005,C.H. Not Amounting To Murder,135
Andhra Pradesh,2005,Rape,283
Andhra Pradesh,2005,Kidnapping And Abduction,183
Andhra Pradesh,2005,Dacoity,477
Andhra Pradesh,2005,Prep. And Assembly For Dacoity,59
Andhra Pradesh,2005,Robbery,261
Andhra Pradesh,2005,Burglary,224
Andhra Pradesh,2005,Thefts,1834
Andhra Pradesh,2005,Extortion,89
Andhra Pradesh,2005,Riots,117
Andhra Pradesh,2005,Arson,37
Andhra Pradesh,2005,Criminal Breach Of Trust,30
Andhra Pradesh,2005,Cheating,229
Andhra Pradesh,2005,Counter Feiting,53
Andhra Pradesh,2005,Dowry Deaths,151
Andhra Pradesh,2005,Molestation,97
Andhra Pradesh,2005,Eve-Teasing,35
Andhra Pradesh,2005,Cruelty By Husband Or Relative Of Husband,293
Andhra Pradesh,2005,Other Ipc Crimes,583
Andhra Pradesh,2006,Murder,1499
Andhra Pradesh,2006,Attempt To Commit Murder,614
Andhra Pradesh,2006,C.H. Not Amounting To Murder,137
Andhra Pradesh,2006,Rape,336
Andhra Pradesh,2006,Kidnapping And Abduction,297
Andhra Pradesh,2006,Dacoity,461
Andhra Pradesh,2006,Prep. And Assembly For Dacoity,103
Andhra Pradesh,2006,Robbery,229
Andhra Pradesh,2006,Burglary,165
Andhra Pradesh,2006,Thefts,1649
Andhra Pradesh,2006,Extortion,154
Andhra Pradesh,2006,Riots,119
Andhra Pradesh,2006,Arson,19
Andhra Pradesh,2006,Criminal Breach Of Trust,39
Andhra Pradesh,2006,Cheating,219
Andhra Pradesh,2006,Counter Feiting,36
Andhra Pradesh,2006,Dowry Deaths,180
Andhra Pradesh,2006,Molestation,109
Andhra Pradesh,2006,Eve-Teasing,26
Andhra Pradesh,2006,Cruelty By Husband Or Relative Of Husband,331
Andhra Pradesh,2006,Other Ipc Crimes,701
Andhra Pradesh,2007,Murder,1272
Andhra Pradesh,2007,Attempt To Commit Murder,522
Andhra Pradesh,2007,C.H. Not Amounting To Murder,206
Andhra Pradesh,2007,Rape,337
Andhra Pradesh,2007,Kidnapping And Abduction,265
Andhra Pradesh,2007,Dacoity,356
Andhra Pradesh,2007,Prep. And Assembly For Dacoity,60
Andhra Pradesh,2007,Robbery,225
Andhra Pradesh,2007,Burglary,252
Andhra Pradesh,2007,Thefts,2124
Andhra Pradesh,2007,Extortion,38
Andhra Pradesh,2007,Riots,76
Andhra Pradesh,2007,Arson,24
Andhra Pradesh,2007,Criminal Breach Of Trust,31
Andhra Pradesh,2007,Cheating,193
Andhra Pradesh,2007,Counter Feiting,53
Andhra Pradesh,2007,Dowry Deaths,144
Andhra Pradesh,2007,Molestation,114
Andhra Pradesh,2007,Eve-Teasing,26
Andhra Pradesh,2007,Cruelty By Husband Or Relative Of Husband,376
Andhra Pradesh,2007,Other Ipc Crimes,935
Andhra Pradesh,2008,Murder,1203
Andhra Pradesh,2008,Attempt To Commit Murder,430
Andhra Pradesh,2008,C.H. Not Amounting To Murder,161
Andhra Pradesh,2008,Rape,265
Andhra Pradesh,2008,Kidnapping And Abduction,329
Andhra Pradesh,2008,Dacoity,401
Andhra Pradesh,2008,Prep. And Assembly For Dacoity,46
Andhra Pradesh,2008,Robbery,175
Andhra Pradesh,2008,Burglary,268
Andhra Pradesh,2008,Thefts,2046
Andhra Pradesh,2008,Extortion,55
Andhra Pradesh,2008,Riots,43
Andhra Pradesh,2008,Arson,18
Andhra Pradesh,2008,Criminal Breach Of Trust,10
Andhra Pradesh,2008,Cheating,116
Andhra Pradesh,2008,Counter Feiting,39
Andhra Pradesh,2008,Dowry Deaths,191
Andhra Pradesh,2008,Molestation,150
Andhra Pradesh,2008,Eve-Teasing,69
Andhra Pradesh,2008,Cruelty By Husband Or Relative Of Husband,344
Andhra Pradesh,2008,Other Ipc Crimes,567
Andhra Pradesh,2009,Murder,1053
Andhra Pradesh,2009,Attempt To Commit Murder,348
Andhra Pradesh,2009,C.H. Not Amounting To Murder,167
Andhra Pradesh,2009,Rape,263
Andhra Pradesh,2009,Kidnapping And Abduction,222
Andhra Pradesh,2009,Dacoity,325
Andhra Pradesh,2009,Prep. And Assembly For Dacoity,28
Andhra Pradesh,2009,Robbery,117
Andhra Pradesh,2009,Burglary,124
Andhra Pradesh,2009,Thefts,1885
Andhra Pradesh,2009,Extortion,43
Andhra Pradesh,2009,Riots,34
Andhra Pradesh,2009,Arson,66
Andhra Pradesh,2009,Criminal Breach Of Trust,27
Andhra Pradesh,2009,Cheating,160
Andhra Pradesh,2009,Counter Feiting,23
Andhra Pradesh,2009,Dowry Deaths,178
Andhra Pradesh,2009,Molestation,109
Andhra Pradesh,2009,Eve-Teasing,47
Andhra Pradesh,2009,Cruelty By Husband Or Relative Of Husband,495
Andhra Pradesh,2009,Other Ipc Crimes,727
Andhra Pradesh,2010,Murder,1021
Andhra Pradesh,2010,Attempt To Commit Murder,364
Andhra Pradesh,2010,C.H. Not Amounting To Murder,121
Andhra Pradesh,2010,Rape,292
Andhra Pradesh,2010,Kidnapping And Abduction,226
Andhra Pradesh,2010,Dacoity,338
Andhra Pradesh,2010,Prep. And Assembly For Dacoity,41
Andhra Pradesh,2010,Robbery,164
Andhra Pradesh,2010,Burglary,227
Andhra Pradesh,2010,Thefts,1566
Andhra Pradesh,2010,Extortion,64
Andhra Pradesh,2010,Riots,50
