state_name,year,detail,male,female,total
Andhra Pradesh,2001,Escapees from Inside Prison,13,0,13
Andhra Pradesh,2001,Escapees from Outside Prison,3,0,3
Andhra Pradesh,2001,Escapees from Police Custody,20,0,20
Andhra Pradesh,2001,Re-arrested escapees,20,0,20
Andhra Pradesh,2002,Escapees from Inside Prison,6,0,6
Andhra Pradesh,2002,Escapees from Outside Prison,4,0,4
Andhra Pradesh,2002,Escapees from Police Custody,32,1,33
Andhra Pradesh,2002,Re-arrested escapees,19,1,20
Andhra Pradesh,2003,Escapees from Inside Prison,10,0,10
Andhra Pradesh,2003,Escapees from Outside Prison,5,0,5
Andhra Pradesh,2003,Escapees from Police Custody,26,1,27
Andhra Pradesh,2003,Re-arrested escapees,28,0,28
Andhra Pradesh,2004,Escapees from Inside Prison,9,0,9
Andhra Pradesh,2004,Escapees from Outside Prison,3,0,3
Andhra Pradesh,2004,Escapees from Police Custody,28,3,31
Andhra Pradesh,2004,Re-arrested escapees,21,2,23
Andhra Pradesh,2005,Escapees from Inside Prison,8,0,8
Andhra Pradesh,2005,Escapees from Outside Prison,2,0,2
Andhra Pradesh,2005,Escapees from Police Custody,34,1,35
Andhra Pradesh,2005,Re-arrested escapees,26,1,27
Andhra Pradesh,2006,Escapees from Inside Prison,12,0,12
Andhra Pradesh,2006,Escapees from Outside Prison,0,0,0
Andhra Pradesh,2006,Escapees from Police Custody,59,0,59
Andhra Pradesh,2006,Re-arrested escapees,29,0,29
Andhra Pradesh,2007,Escapees from Inside Prison,16,0,16
Andhra Pradesh,2007,Escapees from Outside Prison,0,0,0
Andhra Pradesh,2007,Escapees from Police Custody,51,0,51
Andhra Pradesh,2007,Re-arrested escapees,18,0,18
Andhra Pradesh,2008,Escapees from Inside Prison,11,0,11
Andhra Pradesh,2008,Escapees from Outside Prison,0,0,0
Andhra Pradesh,2008,Escapees from Police Custody,52,0,52
Andhra Pradesh,2008,Re-arrested escapees,16,0,16
Andhra Pradesh,2009,Escapees from Inside Prison,12,0,12
Andhra Pradesh,2009,Escapees from Outside Prison,1,0,1
Andhra Pradesh,2009,Escapees from Police Custody,41,1,42
Andhra Pradesh,2009,Re-arrested escapees,20,1,21
Andhra Pradesh,2010,Escapees from Inside Prison,10,0,10
Andhra Pradesh,2010,Escapees from Outside Prison,9,0,9
Andhra Pradesh,2010,Escapees from Police Custody,36,0,36
Andhra Pradesh,2010,Re-arrested escapees,29,0,29
Andhra Pradesh,2011,Escapees from Inside Prison,7,0,7
Andhra Pradesh,2011,Escapees from Outside Prison,4,0,4
Andhra Pradesh,2011,Escapees from Police Custody,31,0,31
Andhra Pradesh,2011,Re-arrested escapees,22,0,22
Andhra Pradesh,2012,Escapees from Inside Prison,1,0,1
Andhra Pradesh,2012,Escapees from Outside Prison,11,0,11
Andhra Pradesh,2012,Escapees from Police Custody,28,0,28
Andhra Pradesh,2012,Re-arrested escapees,9,0,9
Arunachal Pradesh,2009,Escapees from Inside Prison,0,0,0
Arunachal Pradesh,2009,Escapees from Outside Prison,0,0,0
Arunachal Pradesh,2009,Escapees from Police Custody,0,0,0
Arunachal Pradesh,2009,Re-arrested escapees,0,0,0
Arunachal Pradesh,2010,Escapees from Inside Prison,0,0,0
Arunachal Pradesh,2010,Escapees from Outside Prison,0,0,0
Arunachal Pradesh,2010,Escapees from Police Custody,0,0,0
Arunachal Pradesh,2010,Re-arrested escapees,0,0,0
Arunachal Pradesh,2011,Escapees from Inside Prison,0,0,0
Arunachal Pradesh,2011,Escapees from Outside Prison,0,0,0
Arunachal Pradesh,2011,Escapees from Police Custody,0,0,0
Arunachal Pradesh,2011,Re-arrested escapees,0,0,0
Arunachal Pradesh,2012,Escapees from Inside Prison,3,0,3
Arunachal Pradesh,2012,Escapees from Outside Prison,0,0,0
Arunachal Pradesh,2012,Escapees from Police Custody,0,0,0
Arunachal Pradesh,2012,Re-arrested escapees,0,0,0
Assam,2001,Escapees from Inside Prison,2,0,2
Assam,2001,Escapees from Outside Prison,3,0,3
