state_name,is_state,year,gender,sentence_period,age_16_18_years,age_18_30_years,age_30_50_years,age_50_above,Total
"Andhra Pradesh",1,2001,Male,"Capital Punishment",0,0,0,0,0
"Andhra Pradesh",1,2001,Male,"Life Imprisonment",0,631,1252,212,2095
"Andhra Pradesh",1,2001,Male,"10-13 Plus years",0,74,80,10,164
"Andhra Pradesh",1,2001,Male,"7-9 Plus years",0,87,85,8,180
"Andhra Pradesh",1,2001,Male,"5-6 Plus years",0,113,108,27,248
"Andhra Pradesh",1,2001,Male,"2-4 Plus years",3,135,112,19,269
"Andhra Pradesh",1,2001,Male,"1 Less than 2 years",0,140,128,12,280
"Andhra Pradesh",1,2001,Male,"6 months less than 1 Yr.",0,179,159,41,379
"Andhra Pradesh",1,2001,Male,"3 - 6 months",2,165,84,42,293
"Andhra Pradesh",1,2001,Male,"Less than 3 months",0,115,79,17,211
"Andhra Pradesh",1,2002,Male,"Capital Punishment",0,0,1,0,1
"Andhra Pradesh",1,2002,Male,"Life Imprisonment",0,922,1230,221,2373
"Andhra Pradesh",1,2002,Male,"10-13 Plus years",0,49,107,28,184
"Andhra Pradesh",1,2002,Male,"7-9 Plus years",0,80,111,41,232
"Andhra Pradesh",1,2002,Male,"5-6 Plus years",0,111,125,29,265
"Andhra Pradesh",1,2002,Male,"2-4 Plus years",0,195,120,33,348
"Andhra Pradesh",1,2002,Male,"1 Less than 2 years",1,200,165,35,401
"Andhra Pradesh",1,2002,Male,"6 months less than 1 Yr.",0,199,139,34,372
"Andhra Pradesh",1,2002,Male,"3 - 6 months",2,122,182,6,312
"Andhra Pradesh",1,2002,Male,"Less than 3 months",0,108,112,13,233
"Andhra Pradesh",1,2003,Male,"Capital Punishment",0,0,0,0,0
"Andhra Pradesh",1,2003,Male,"Life Imprisonment",0,914,1416,332,2662
"Andhra Pradesh",1,2003,Male,"10-13 Plus years",0,40,76,15,131
"Andhra Pradesh",1,2003,Male,"7-9 Plus years",0,89,112,33,234
"Andhra Pradesh",1,2003,Male,"5-6 Plus years",0,111,135,35,281
"Andhra Pradesh",1,2003,Male,"2-4 Plus years",0,167,144,47,358
"Andhra Pradesh",1,2003,Male,"1 Less than 2 years",0,153,156,52,361
"Andhra Pradesh",1,2003,Male,"6 months less than 1 Yr.",0,178,167,27,372
"Andhra Pradesh",1,2003,Male,"3 - 6 months",0,160,118,26,304
"Andhra Pradesh",1,2003,Male,"Less than 3 months",0,99,111,62,272
"Andhra Pradesh",1,2004,Male,"Capital Punishment",0,0,0,0,0
"Andhra Pradesh",1,2004,Male,"Life Imprisonment",0,953,1453,181,2587
"Andhra Pradesh",1,2004,Male,"10-13 Plus years",0,49,68,15,132
"Andhra Pradesh",1,2004,Male,"7-9 Plus years",0,81,94,24,199
"Andhra Pradesh",1,2004,Male,"5-6 Plus years",0,99,93,36,228
"Andhra Pradesh",1,2004,Male,"2-4 Plus years",0,135,108,50,293
"Andhra Pradesh",1,2004,Male,"1 Less than 2 years",0,101,140,10,251
"Andhra Pradesh",1,2004,Male,"6 months less than 1 Yr.",0,128,147,56,331
"Andhra Pradesh",1,2004,Male,"3 - 6 months",0,96,134,32,262
"Andhra Pradesh",1,2004,Male,"Less than 3 months",0,119,150,16,285
"Andhra Pradesh",1,2005,Male,"Capital Punishment",0,0,0,0,0
"Andhra Pradesh",1,2005,Male,"Life Imprisonment",0,861,1726,271,2858
"Andhra Pradesh",1,2005,Male,"10-13 Plus years",0,42,73,18,133
"Andhra Pradesh",1,2005,Male,"7-9 Plus years",0,102,149,11,262
"Andhra Pradesh",1,2005,Male,"5-6 Plus years",1,99,170,19,289
"Andhra Pradesh",1,2005,Male,"2-4 Plus years",1,111,159,25,296
